#q	smax	std	adherents
10	16.32	4.79349559299	0.2632
15	15.78	4.57510655614	0.2544
20	13.7	5.05667875191	0.3168
25	12.38	4.61254810273	0.332
30	11.76	5.14804817382	0.3536
35	9.68	5.01772856978	0.3152
40	8.46	4.84648326109	0.2888
45	7.48	3.88967864997	0.2664
50	6.0	2.95296461205	0.2072
55	6.96	3.84166630513	0.2448
60	5.22	3.2698012172	0.1744
65	5.08	2.59876893932	0.1752
70	5.2	3.4756294394	0.1848
75	4.64	2.82672955905	0.1704
80	4.28	2.85685141371	0.1712
85	4.02	1.93380454028	0.1304
90	4.24	2.70968632871	0.1704
95	3.62	2.64491965852	0.152
