#q	smax	std	adherents
10	24.1	2.45967477525	0.964
15	21.42	4.22890056634	0.8472
20	18.88	5.00655570228	0.7528
25	16.02	5.29713129911	0.6288
30	12.44	5.49603493439	0.4712
35	10.82	5.29033080251	0.4288
40	8.18	4.93027382607	0.3032
45	8.16	4.4603138903	0.3
50	6.32	3.99219238013	0.2288
55	6.66	3.51345983327	0.2344
60	5.14	3.16234090509	0.204
65	4.76	2.24107117245	0.1656
70	4.68	2.67910432794	0.1664
75	4.84	2.8520869552	0.1776
80	3.9	2.1	0.1576
85	4.4	2.15406592285	0.16
90	4.22	2.41072603172	0.164
95	3.32	1.54194682139	0.1272
