#q	smax	std	adherents
10	24.34	1.66865215069	0.9736
15	22.0	4.31740662898	0.8744
20	18.72	5.43705802801	0.748
25	15.36	5.26406686888	0.5912
30	11.38	5.46951551785	0.4272
35	10.58	5.0043581007	0.3944
40	9.6	5.09901951359	0.3464
45	8.22	4.67028907028	0.2984
50	6.48	4.05581064647	0.2392
55	6.06	2.67140412517	0.216
60	5.24	2.80399714693	0.1944
65	5.12	2.61258492685	0.1848
70	5.1	3.31813200461	0.1872
75	4.58	2.53842470836	0.1696
80	4.08	2.65962403358	0.1696
85	4.6	2.83548937575	0.1608
90	4.06	2.32731605073	0.1632
95	3.44	1.87787113509	0.1336
