#q	smax	std	adherents
10	22.5	3.8170669368	0.7808
15	20.66	4.94210481475	0.7776
20	18.04	4.94756505768	0.6592
25	16.62	5.34374400584	0.6304
30	12.72	6.11241359857	0.4824
35	10.26	5.47287858444	0.3672
40	9.32	5.58369053584	0.3552
45	8.22	4.37853856897	0.3016
50	6.26	4.1367136715	0.2224
55	6.38	3.54338820905	0.244
60	5.26	3.07772643359	0.2
65	5.42	2.93318939041	0.1832
70	5.0	3.06594194335	0.1952
75	4.82	3.29660431353	0.1872
80	4.24	2.68	0.168
85	4.06	2.12988262587	0.1424
90	3.84	1.84780951399	0.1576
95	3.5	2.13775583264	0.1464
