#q	smax	std	adherents
10	24.26	1.7641995352	0.9704
15	22.82	3.46808304399	0.9152
20	19.56	4.3366346399	0.7736
25	14.9	5.5542776308	0.5848
30	12.58	6.04347582108	0.4928
35	10.96	5.00383852657	0.396
40	8.7	4.80520551069	0.3288
45	7.86	4.78752545685	0.3192
50	5.6	2.89827534924	0.2096
55	6.1	3.5	0.2416
60	5.22	3.18929459285	0.2056
65	5.26	2.86223688747	0.1784
70	4.88	3.10895480829	0.1896
75	4.96	2.82814426789	0.1832
80	4.04	2.28	0.1584
85	4.06	1.97393008995	0.1416
90	4.1	2.15638586528	0.168
95	3.5	1.93132079158	0.1432
