#q	smax	std	adherents
10	24.16	1.88	0.0
15	22.04	4.48089276819	0.0
20	17.5	5.78013840665	0.0
25	13.98	4.94566476826	0.0
30	11.44	5.32601164099	0.0
35	9.78	5.15088341938	0.0
40	9.22	4.94889886742	0.0
45	7.2	3.11126983722	0.0
50	5.86	2.74961815531	0.0
55	5.28	2.31551290215	0.0
60	4.82	2.52737017471	0.0
65	4.32	1.98433868077	0.0
70	4.26	2.33931613939	0.0
75	3.9	1.65227116419	0.0
80	3.64	1.70598944897	0.0
85	3.8	1.58745078664	0.0
90	3.74	2.43975408597	0.0
95	3.08	1.33925352342	0.0
